specie,habitat,long_x,lat_y,year,month
myrmecophaga_tridactyla,cerrado,-51.380.865,-16.022.558,2007,June
myrmecophaga_tridactyla,floresta_ombrofila,-50.192.511,-6.064.997,2008,March
myrmecophaga_tridactyla,pastagem,-42.067.759,-19.431.103,2013,January
myrmecophaga_tridactyla,pastagem,-55.464.605,-20.543.782,2009,March
myrmecophaga_tridactyla,cerrado,-49.225.516,-22.839.702,2015,February
myrmecophaga_tridactyla,pinus,-49.230.276,-22.820.314,2014,November
myrmecophaga_tridactyla,pastagem,-5.574.618,-21.517.189,2010,October
myrmecophaga_tridactyla,cerrado,-47.460.808,-20.257.273,2014,May
myrmecophaga_tridactyla,campo_rupestre,-47.466.577,-2.024.037,2014,May
myrmecophaga_tridactyla,campo_rupestre,-46.492.599,-20.206.707,2009,September
myrmecophaga_tridactyla,campo_rupestre,-6.077.828,284.151,2008,June
myrmecophaga_tridactyla,cerrado,-49.230.763,-22.796.089,2014,November
myrmecophaga_tridactyla,campo_rupestre,-49.242.885,-22.795.268,2014,June
myrmecophaga_tridactyla,pinus,-49.205.008,-22.808.774,2014,August
myrmecophaga_tridactyla,cerrado,-49.184.497,-22.819.648,2014,October
myrmecophaga_tridactyla,floresta_galeria,-49.236.946,-227.891,2015,February
myrmecophaga_tridactyla,pastagem,-53.204.278,-17.299.436,2014,July
myrmecophaga_tridactyla,pastagem,-54.628.179,-20.568.207,2017,November
myrmecophaga_tridactyla,pastagem,-5.218.951,-206.974,2017,November
myrmecophaga_tridactyla,pastagem,-5.241.859,-2.060.024,2017,November
myrmecophaga_tridactyla,floresta_galeria,-5.343.576,-2.046.693,2017,November
myrmecophaga_tridactyla,campo_rupestre,-46.488.862,-20.209.093,2009,September
myrmecophaga_tridactyla,campo_rupestre,-46.489.871,-2.021.008,2009,September
myrmecophaga_tridactyla,campo_rupestre,-46.495.943,-20.187.743,2009,September
myrmecophaga_tridactyla,floresta,-46.487.961,-20.185.575,2009,September
myrmecophaga_tridactyla,floresta_galeria,-46.485.708,-20.188.279,2009,September
myrmecophaga_tridactyla,campo_rupestre,-46.492.188,-20.204.716,2009,September
myrmecophaga_tridactyla,floresta,-46.495.235,-20.209.608,2009,September
myrmecophaga_tridactyla,campo_rupestre,-46.493.969,-20.208.642,2009,September
myrmecophaga_tridactyla,floresta_galeria,-46.494.849,-20.208.321,2009,September
myrmecophaga_tridactyla,floresta,-46.487.961,-20.196.197,2009,September
myrmecophaga_tridactyla,floresta,-46.493.454,-20.203.986,2009,September
myrmecophaga_tridactyla,campo_rupestre,-46.496.029,-20.206.347,2009,September
myrmecophaga_tridactyla,campo_rupestre,-46.490.343,-20.203.922,2009,September
myrmecophaga_tridactyla,campo_rupestre,-46.492.789,-2.020.345,2009,September
myrmecophaga_tridactyla,floresta,-46.495.321,-20.201.948,2009,September
myrmecophaga_tridactyla,campo_rupestre,-46.488.926,-20.200.896,2009,September
myrmecophaga_tridactyla,campo_rupestre,-46.466.053,-20.221.088,2009,September
myrmecophaga_tridactyla,floresta,-46.466.117,-20.220.444,2009,September
myrmecophaga_tridactyla,floresta,-46.464.701,-20.218.792,2009,September
