specie,habitat,long_x,lat_y,year,month
tamandua_tetradactyla,floresta,-39.930.546,-19.128.473,2007,June
tamandua_tetradactyla,floresta,-39.930.546,-19.128.473,2010,June
tamandua_tetradactyla,floresta_ombrofila_densa,-49.696.235,-6.407.813,2003,August
tamandua_tetradactyla,floresta_ombrofila_densa,-49.670.463,-6.425.305,2004,April
tamandua_tetradactyla,floresta,-4.001.815,-19.173.966,2008,November
tamandua_tetradactyla,floresta,-39.930.546,-19.128.473,2013,June
tamandua_tetradactyla,floresta,-40.133.965,-19.008.748,2017,October
tamandua_tetradactyla,floresta,-39.930.546,-19.128.473,2017,October
tamandua_tetradactyla,floresta_atlantica_costeira,-4.002.821,-1.915.431,2014,May
tamandua_tetradactyla,floresta_atlantica_costeira,-3.996.817,-1.911.265,2014,May
tamandua_tetradactyla,floresta_atlantica_costeira,-3.994.477,-1.912.286,2014,May
tamandua_tetradactyla,floresta_atlantica_costeira,-3.992.825,-1.912.736,2014,May
tamandua_tetradactyla,floresta_atlantica_costeira,-3.990.731,-1.908.316,2014,May
tamandua_tetradactyla,floresta_atlantica_costeira,-3.994.744,-1.918.797,2014,May
tamandua_tetradactyla,floresta_atlantica_costeira,-3.997.108,-1.923.107,2014,May
tamandua_tetradactyla,floresta_atlantica_costeira,-4.002.583,-1.918.908,2014,May
tamandua_tetradactyla,floresta_atlantica_costeira,-3.997.401,-1.916.938,2014,May
tamandua_tetradactyla,floresta_atlantica_costeira,-4.003.459,-1.910.815,2014,May
tamandua_tetradactyla,floresta_atlantica_costeira,-3.991.812,-1.915.247,2014,May
tamandua_tetradactyla,floresta_ombrofila_densa,-4.048.883,-2.027.338,2017,January
tamandua_tetradactyla,floresta_ombrofila_densa,-4.048.313,-2.028.795,2017,January
tamandua_tetradactyla,floresta_ombrofila_densa,-4.051.621,-2.027.576,2017,January
tamandua_tetradactyla,floresta_ombrofila_densa,-4.050.993,-2.028.877,2017,January
tamandua_tetradactyla,floresta_ombrofila_densa,-4.048.402,-2.029.804,2017,January
tamandua_tetradactyla,floresta_ombrofila_densa,-4.049.678,-2.030.336,2017,January
tamandua_tetradactyla,floresta_ombrofila_densa,-4.101.349,-2.042.142,2017,January
tamandua_tetradactyla,floresta_ombrofila_densa,-4.101.261,-2.042.999,2017,January
tamandua_tetradactyla,floresta_ombrofila_densa,-4.100.098,-2.041.151,2017,January
tamandua_tetradactyla,floresta_ombrofila_densa,-4.184.941,-2.047.691,2017,January
tamandua_tetradactyla,floresta_ombrofila_densa,-4.184.357,-2.044.722,2017,January
tamandua_tetradactyla,floresta_ombrofila_densa,-4.183.754,-2.041.716,2017,January
tamandua_tetradactyla,floresta_ombrofila_densa,-4.185.281,-2.048.149,2017,January
tamandua_tetradactyla,pastagem,-55.714.367,-20.500.087,2009,March
tamandua_tetradactyla,eucalipto,-4.934.892,-2.280.517,2015,July
tamandua_tetradactyla,floresta_atlantica,-48.299.851,-25.184.772,2007,August
tamandua_tetradactyla,pantanal,-56.647.353,-18.994.876,2009,June
tamandua_tetradactyla,campo,-56.600.835,-18.975.602,2009,June
tamandua_tetradactyla,campo,-56.304.617,-19.954.396,2007,June
tamandua_tetradactyla,pastagem,-56.307.741,-19.965.072,2007,September
tamandua_tetradactyla,campo,-48.117,-18.381,2014,January
tamandua_tetradactyla,cerradao,-565.476,-150.734,2013,November
tamandua_tetradactyla,cerradao,-565.465,-150.699,2013,July
tamandua_tetradactyla,cerradao,-565.499,-150.712,2013,July
tamandua_tetradactyla,cerrado,-56.55,-15.071,2013,August
tamandua_tetradactyla,cerradao,-565.504,-150.704,2013,August
tamandua_tetradactyla,cerradao,-565.431,-150.385,2013,July
tamandua_tetradactyla,cerradao,-565.421,-150.432,2013,July
tamandua_tetradactyla,cerradao,-56.579,-150.655,2013,July
tamandua_tetradactyla,cerrado,-565.778,-150.652,2013,July
tamandua_tetradactyla,cerradao,-565.753,-150.844,2013,August
tamandua_tetradactyla,cerradao,-565.764,-150.844,2013,August
tamandua_tetradactyla,cerradao,-565.772,-150.831,2013,September
tamandua_tetradactyla,cerrado,-565.822,-150.853,2013,August
tamandua_tetradactyla,cerrado,-565.822,-150.853,2013,August
tamandua_tetradactyla,cerrado,-565.872,-151.036,2013,August
tamandua_tetradactyla,cerrado,-565.856,-151.047,2013,August
tamandua_tetradactyla,cerrado,-565.775,-151.067,2013,August
tamandua_tetradactyla,cerrado,-565.772,-151.078,2013,August
tamandua_tetradactyla,cerrado,-565.781,-151.075,2013,September
tamandua_tetradactyla,cerrado,-565.792,-151.081,2013,October
tamandua_tetradactyla,Pantanal,-582.303,-161.394,2013,October
tamandua_tetradactyla,Pantanal,-582.192,-161.447,2013,October
tamandua_tetradactyla,Pantanal,-58.23,-161.369,2013,October
tamandua_tetradactyla,Pantanal,-581.872,-160.981,2014,March
tamandua_tetradactyla,Pantanal,-581.664,-16.105,2013,October
tamandua_tetradactyla,Cerrado,-550.552,-198.626,NA,February
tamandua_tetradactyla,Cerrado,-553.119,-196.723,NA,October
tamandua_tetradactyla,Cerrado,-551.688,-199.903,NA,December
tamandua_tetradactyla,Cerrado,-551.688,-199.903,NA,December
tamandua_tetradactyla,Cerrado,-551.688,-199.903,NA,December
tamandua_tetradactyla,Cerrado,-551.078,-196.111,NA,September
tamandua_tetradactyla,Cerrado,-551.078,-196.111,NA,September
tamandua_tetradactyla,Cerrado,-552.012,-197.501,NA,November
tamandua_tetradactyla,Cerrado,-551.171,-198.632,NA,May
tamandua_tetradactyla,Cerrado,-550.316,-197.033,NA,December
tamandua_tetradactyla,Cerrado,-553.129,-196.716,NA,February
tamandua_tetradactyla,Cerrado,-552.612,-197.578,NA,December
tamandua_tetradactyla,Cerrado,-553.418,-197.014,NA,February
tamandua_tetradactyla,Cerrado,-552.242,-199.494,NA,March
tamandua_tetradactyla,Cerrado,-552.971,-196.878,NA,March
tamandua_tetradactyla,Cerrado,-551.296,-197.309,NA,August
tamandua_tetradactyla,pantanal,-5.561.461,-1.952.071,NA,September
tamandua_tetradactyla,pantanal,-5.561.461,-1.952.071,NA,October
tamandua_tetradactyla,Cerrado,-5.561.461,-1.952.071,NA,March
tamandua_tetradactyla,Cerrado,-5.561.461,-1.952.071,NA,March
tamandua_tetradactyla,Cerrado,-5.561.461,-1.952.071,NA,July
tamandua_tetradactyla,Cerrado,-5.561.461,-1.952.071,NA,August
tamandua_tetradactyla,Cerrado,-5.561.461,-1.952.071,NA,July
tamandua_tetradactyla,Cerrado,-5.561.461,-1.952.071,NA,July
tamandua_tetradactyla,Cerrado,-5.561.461,-1.952.071,NA,July
tamandua_tetradactyla,Cerrado,-5.561.461,-1.952.071,NA,June
tamandua_tetradactyla,Cerrado,-5.561.461,-1.952.071,NA,July
tamandua_tetradactyla,Cerrado,-5.561.461,-1.952.071,NA,May
tamandua_tetradactyla,floresta_alagada,-60.315.254,-3.104.014,2016,June
tamandua_tetradactyla,floresta_alagada,-60.311.803,-3.103.255,2016,June
tamandua_tetradactyla,floresta_alagada,-60.317.907,-308.216,2016,June
tamandua_tetradactyla,floresta_alagada,-60.318.176,-3.078.564,2016,June
tamandua_tetradactyla,floresta_alagada,-60.318.343,-3.080.336,2016,June
tamandua_tetradactyla,floresta_alagada,-60.299.498,-3.102.374,2016,June
tamandua_tetradactyla,floresta_terra_firme_amazonia,-524.922,1.5957,2004,September
tamandua_tetradactyla,floresta_terra_firme_amazonia,-515.879,1.3081,2004,August
tamandua_tetradactyla,floresta_terra_firme_amazonia,-518.935,1.1012,2005,March
tamandua_tetradactyla,floresta_terra_firme_amazonia,-512.674,9.506,2006,February
tamandua_tetradactyla,floresta_terra_firme_amazonia,-561.333,8.444,2006,March
tamandua_tetradactyla,cerrado,-512.465,4.844,2008,March
tamandua_tetradactyla,area_alagada,-507.922,1.27,2008,March
tamandua_tetradactyla,area_alagada,-507.922,1.27,2008,March
tamandua_tetradactyla,cerrado,-51.198.501,8.687,2009,April
tamandua_tetradactyla,cerrado,-513.607,8.024,2009,April
tamandua_tetradactyla,cerrado,-510.847,1.687,2010,November
tamandua_tetradactyla,cerrado,-515.748,1.578,2010,March
tamandua_tetradactyla,floresta_terra_firme_amazonia,-515.383,1.375,2012,September
tamandua_tetradactyla,floresta_terra_firme_amazonia,-511.944,2.1475,2012,September
tamandua_tetradactyla,floresta,-3.997.472,-19.055,2015,April
tamandua_tetradactyla,eucalipto,-4.000.556,-1.910.639,2015,July
tamandua_tetradactyla,eucalipto,-4.001.167,-1.910.583,2015,July
tamandua_tetradactyla,floresta,-4.000.944,-1.908.917,2015,September
tamandua_tetradactyla,eucalipto,-3.999.778,-1.907.083,2015,May
tamandua_tetradactyla,eucalipto,-3.998.833,-1.906.611,2015,May
tamandua_tetradactyla,eucalipto,-4.000.644,-190.623,2015,May
tamandua_tetradactyla,eucalipto,-39.995,-1.905.604,2015,May
tamandua_tetradactyla,floresta,-3.998.639,-1.912.056,2015,February
tamandua_tetradactyla,floresta,-3.998.361,-1.910.278,2015,January
tamandua_tetradactyla,floresta,-3.998.222,-1.910.694,2015,January
tamandua_tetradactyla,floresta,-3.997.056,-1.906.972,2015,April
tamandua_tetradactyla,eucalipto,-3.998.722,-1.913.056,2015,February
tamandua_tetradactyla,eucalipto,-3.998.806,-1.911.167,2015,February
tamandua_tetradactyla,floresta,-4.007.229,-1.905.111,2016,February
tamandua_tetradactyla,floresta,-4.006.221,-1.904.831,2016,February
tamandua_tetradactyla,floresta,-4.008.285,-1.898.602,2016,February
tamandua_tetradactyla,floresta,-4.000.852,-190.099,2016,February
tamandua_tetradactyla,floresta,-3.993.287,-1.913.581,2017,June
tamandua_tetradactyla,floresta_restinga,-4.041.228,-2.060.862,2012,June
tamandua_tetradactyla,floresta_ombrofila_densa,-45.730.833,-23.570.278,2004,April
tamandua_tetradactyla,floresta_restinga,-46.125.522,-2.382.777,NA,NA
tamandua_tetradactyla,floresta_ombrofila,-60.370.008,-1.377.682,2014,June
tamandua_tetradactyla,floresta_estacional_semidecidual,-65.636.077,-15.028.935,2014,July
tamandua_tetradactyla,floresta_estacional_semidecidual,-65.636.077,-15.028.935,2014,July
tamandua_tetradactyla,floresta_estacional_semidecidual,-65.636.077,-15.028.935,2014,November
tamandua_tetradactyla,floresta_estacional_semidecidual,-65.636.077,-15.028.935,2014,November
tamandua_tetradactyla,cerrado,-56.650.657,-15.132.536,2013,June
tamandua_tetradactyla,floresta_estacional_semidecidual,-55.420.523,-15.841.033,2012,July
tamandua_tetradactyla,floresta_estacional_semidecidual,-55.420.523,-15.841.033,2013,June
tamandua_tetradactyla,floresta_estacional_semidecidual,-55.420.523,-15.841.033,2013,June
tamandua_tetradactyla,floresta_ombrofila,-63.872.725,-897.063,2013,November
tamandua_tetradactyla,floresta_ombrofila,-63.872.725,-897.063,2013,November
tamandua_tetradactyla,floresta_ombrofila,-63.872.725,-897.063,2014,June
tamandua_tetradactyla,floresta_ombrofila,-6.116.239,-12.235.007,2013,July
tamandua_tetradactyla,floresta_ombrofila,-6.116.239,-12.235.007,2013,July
tamandua_tetradactyla,floresta_ombrofila,-6.116.239,-12.235.007,2013,July
tamandua_tetradactyla,floresta_estacional_semidecidual,-65.636.077,-15.028.935,2013,December
tamandua_tetradactyla,floresta_estacional_semidecidual,-65.636.077,-15.028.935,2013,December
tamandua_tetradactyla,cerrado,-57.745.538,-15.186.343,2013,June
tamandua_tetradactyla,cerrado,-57.745.538,-15.186.343,2013,June
tamandua_tetradactyla,cerrado,-57.745.538,-15.186.343,2013,November
tamandua_tetradactyla,cerrado,-57.745.538,-15.186.343,2014,June
tamandua_tetradactyla,cerrado,-56.650.657,-15.132.536,2014,June
tamandua_tetradactyla,cerrado,-56.650.657,-15.132.536,2014,June
tamandua_tetradactyla,floresta_estacional_semidecidual,-55.420.523,-15.841.033,2012,July
tamandua_tetradactyla,floresta_estacional_semidecidual,-55.420.523,-15.841.033,2013,June
tamandua_tetradactyla,floresta_estacional_semidecidual,-55.420.523,-15.841.033,2013,November
tamandua_tetradactyla,cerrado,-53.322.892,-17.382.517,2012,July
tamandua_tetradactyla,cerrado,-53.322.892,-17.382.517,2014,November
tamandua_tetradactyla,floresta_estacional_semidecidual,-5.421.512.389,-2.312.220.165,2013,February
tamandua_tetradactyla,floresta_estacional_semidecidual,-5.418.500.472,-2.310.276.676,2013,February
tamandua_tetradactyla,floresta_estacional_semidecidual,-5.420.254.945,-2.313.515.666,2013,February
tamandua_tetradactyla,floresta_estacional_semidecidual,-5.419.706.363,-231.366.116,2013,February
tamandua_tetradactyla,floresta_estacional_semidecidual,-5.420.661.225,-2.314.161,2013,February
tamandua_tetradactyla,floresta_estacional_semidecidual,-5.418.402.974,-2.313.451.085,2013,February
tamandua_tetradactyla,floresta_estacional_semidecidual,-5.422.797.423,-2.312.893.587,2013,February
tamandua_tetradactyla,floresta_estacional_semidecidual,-5.417.488.745,-2.310.785.686,2013,February
tamandua_tetradactyla,floresta_estacional_semidecidual,-5.417.338.255,-2.312.705.455,2013,February
tamandua_tetradactyla,floresta_estacional_semidecidual,-5.490.021.932,-2.238.553.149,2016,January
tamandua_tetradactyla,floresta_estacional_semidecidual,-5.490.403.336,-2.234.286.079,2016,January
tamandua_tetradactyla,floresta_estacional_semidecidual,-5.492.288.209,-2.231.416.264,2016,January
tamandua_tetradactyla,cerrado,-5.488.856.927,-1.762.012.097,2008,June
tamandua_tetradactyla,cerrado,-5.488.675.193,-1.761.761.718,2008,June
tamandua_tetradactyla,cerrado,-5.525.700.909,-1.942.497.491,2016,October
tamandua_tetradactyla,cerrado,-5.643.645.454,-2.113.369.585,2012,December
tamandua_tetradactyla,cerrado,-5.761.587.688,-1.909.522.634,2013,August
tamandua_tetradactyla,cerrado,-5.763.546.326,-1.925.494.435,2013,August
tamandua_tetradactyla,cerrado,-5.752.210.186,-1.940.036.604,2013,August
tamandua_tetradactyla,cerrado,-5.728.452.331,-1.956.838.715,2013,August
tamandua_tetradactyla,cerrado,-5.702.894.957,-1.964.539.722,2013,August
tamandua_tetradactyla,cerrado,-567.620.756,-2.007.742.566,2013,August
tamandua_tetradactyla,cerrado,-5.661.950.349,-2.015.517.845,2013,August
tamandua_tetradactyla,cerrado,-5.621.183.284,-2.043.224.368,2013,August
tamandua_tetradactyla,cerrado,-5.621.183.284,-2.043.224.368,2013,August
tamandua_tetradactyla,cerrado,-56.437.117,-20.829.332,2016,May
tamandua_tetradactyla,cerrado,-5.673.892,-21.112.545,2016,October
tamandua_tetradactyla,cerrado,-56.441.608,-21.437.181,2017,April
tamandua_tetradactyla,cerrado,-47.880.312,-21.165.939,1998,February
tamandua_tetradactyla,cerrado,-56.150.219,-19.569.621,2014,November
tamandua_tetradactyla,floresta_ombrofila_aberta,-72.111.085,-8.341.063,2016,April
tamandua_tetradactyla,floresta_ombrofila,-60,-1.22,2010,July
tamandua_tetradactyla,caatinga,-61.43,-3.26,1998,April
tamandua_tetradactyla,caatinga,-61.43,-3.26,1998,April
tamandua_tetradactyla,floresta_terra_firme_amazonia,-56.533.768,-9.717.651,2014,May
tamandua_tetradactyla,floresta_terra_firme_amazonia,-56.532.394,-9.720.816,2014,May
tamandua_tetradactyla,floresta_terra_firme_amazonia,-56.030.022,-9.742.984,2014,May
tamandua_tetradactyla,floresta_terra_firme_amazonia,-56.504.021,-9.629.443,2014,May
tamandua_tetradactyla,floresta_terra_firme_amazonia,-5.630.159,-9.941.813,2014,May
tamandua_tetradactyla,floresta_terra_firme_amazonia,-5.630.262,-9.943.537,2014,May
tamandua_tetradactyla,floresta_terra_firme_amazonia,-5.645.557,-9.921.035,2014,May
tamandua_tetradactyla,floresta_terra_firme_amazonia,-56.426.792,-9.962.422,2014,May
tamandua_tetradactyla,floresta_terra_firme_amazonia,-56.458.046,-9.920.144,2014,May
tamandua_tetradactyla,floresta_terra_firme_amazonia,-56.459.812,-9.921.621,2014,May
tamandua_tetradactyla,floresta_terra_firme_amazonia,-56.460.651,-9.924.065,2014,May
tamandua_tetradactyla,floresta_terra_firme_amazonia,-56.430.157,-9.971.317,2014,May
tamandua_tetradactyla,floresta_terra_firme_amazonia,-56.428.665,-9.966.757,2014,May
tamandua_tetradactyla,floresta_terra_firme_amazonia,-56.146.152,-981.027,2014,May
tamandua_tetradactyla,floresta_terra_firme_amazonia,-5.592.897,-9.620.044,2014,May
